#module,uid,ProducerName,switches,file,rank,flushes,record_id,exe,max_byte,type,job_id,op,cnt,schema,seg:off,seg:pt_sel,seg:dur,seg:len,seg:ndims,seg:reg_hslab,seg:irreg_hslab,seg:npoints,seg:timestamp,seg:total,seg:start
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000012,12,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.039108,-1,-1,-1,-1,-1,1713585247.578670,0.039108,0.076232
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000025,25,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.040637,-1,-1,-1,-1,-1,1713585247.580207,0.040637,0.076140
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000015,15,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.041621,-1,-1,-1,-1,-1,1713585247.581193,0.041621,0.076242
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000003,3,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.042801,-1,-1,-1,-1,-1,1713585247.582377,0.042801,0.076306
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000031,31,-1,5684524344839214472,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.044229,-1,-1,-1,-1,-1,1713585247.583801,0.044229,0.076093
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000021,21,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.045621,-1,-1,-1,-1,-1,1713585247.585190,0.045621,0.076231
POSIX,12345,n1119,0,N/A,4,-1,3538761372112935884,N/A,4194303,MOD,19047177,write,1,N/A,0,-1,0.039359,4194304,-1,-1,-1,-1,1713585247.585376,0.039359,0.082689
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000005,5,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.046962,-1,-1,-1,-1,-1,1713585247.586531,0.046962,0.076299
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000027,27,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.048046,-1,-1,-1,-1,-1,1713585247.587618,0.048046,0.076136
POSIX,12345,n1119,-1,/pscratch/user/iorTest/darshan.00000023,23,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.049450,-1,-1,-1,-1,-1,1713585247.589022,0.049450,0.076115
POSIX,12345,n1119,0,N/A,24,-1,9223372036854775807,N/A,4194303,MOD,19047177,write,1,N/A,0,-1,0.040775,4194304,-1,-1,-1,-1,1713585247.589448,0.040775,0.085242
POSIX,12345,n1119,0,N/A,9,-1,9223372036854775807,N/A,4194303,MOD,19047177,write,1,N/A,0,-1,0.021297,4194304,-1,-1,-1,-1,1713585247.589483,0.021297,0.104858
POSIX,12345,n1119,0,N/A,2,-1,9223372036854775807,N/A,4194303,MOD,19047177,write,1,N/A,0,-1,0.026827,4194304,-1,-1,-1,-1,1713585247.589482,0.026827,0.099341
POSIX,12345,n1119,0,N/A,4,-1,3538761372112935884,N/A,8388607,MOD,19047177,write,2,N/A,4194304,-1,0.004159,4194304,-1,-1,-1,-1,1713585247.589614,0.043518,0.122126
POSIX,12345,n1119,0,N/A,20,-1,5239240597189811710,N/A,4194303,MOD,19047177,write,1,N/A,0,-1,0.039653,4194304,-1,-1,-1,-1,1713585247.592270,0.039653,0.089280
POSIX,12345,n1119,0,N/A,11,-1,9223372036854775807,N/A,4194303,MOD,19047177,write,1,N/A,0,-1,0.022725,4194304,-1,-1,-1,-1,1713585247.593705,0.022725,0.107653
POSIX,12345,n1119,0,N/A,4,-1,3538761372112935884,N/A,12582911,MOD,19047177,write,3,N/A,8388608,-1,0.004346,4194304,-1,-1,-1,-1,1713585247.594006,0.047864,0.126331
POSIX,12345,n1119,0,N/A,24,-1,9223372036854775807,N/A,8388607,MOD,19047177,write,2,N/A,4194304,-1,0.005367,4194304,-1,-1,-1,-1,1713585247.594890,0.046142,0.126092
POSIX,12345,n1119,0,N/A,2,-1,9223372036854775807,N/A,8388607,MOD,19047177,write,2,N/A,4194304,-1,0.005763,4194304,-1,-1,-1,-1,1713585247.595318,0.032590,0.126242
POSIX,12345,n1119,0,N/A,9,-1,9223372036854775807,N/A,8388607,MOD,19047177,write,2,N/A,4194304,-1,0.005907,4194304,-1,-1,-1,-1,1713585247.595485,0.027204,0.126250
POSIX,12345,n1119,0,N/A,30,-1,9223372036854775807,N/A,4194303,MOD,19047177,write,1,N/A,0,-1,0.053806,4194304,-1,-1,-1,-1,1713585247.596530,0.053806,0.079324
POSIX,12345,n1119,0,N/A,20,-1,5239240597189811710,N/A,8388607,MOD,19047177,write,2,N/A,4194304,-1,0.004414,4194304,-1,-1,-1,-1,1713585247.596759,0.044066,0.129008
POSIX,12345,n1119,0,N/A,4,-1,3538761372112935884,N/A,16777215,MOD,19047177,write,4,N/A,12582912,-1,0.004103,4194304,-1,-1,-1,-1,1713585247.598149,0.051967,0.130717
POSIX,12345,n1119,0,N/A,11,-1,9223372036854775807,N/A,8388607,MOD,19047177,write,2,N/A,4194304,-1,0.004466,4194304,-1,-1,-1,-1,1713585247.598280,0.027191,0.130486
POSIX,12345,n1119,0,N/A,26,-1,9223372036854775807,N/A,4194303,MOD,19047177,write,1,N/A,0,-1,0.042384,4194304,-1,-1,-1,-1,1713585247.599651,0.042384,0.093831
POSIX,12345,n1119,0,N/A,24,-1,9223372036854775807,N/A,12582911,MOD,19047177,write,3,N/A,8388608,-1,0.004871,4194304,-1,-1,-1,-1,1713585247.599818,0.051013,0.131516
POSIX,12345,n1119,0,N/A,30,-1,9223372036854775807,N/A,8388607,MOD,19047177,write,2,N/A,4194304,-1,0.004066,4194304,-1,-1,-1,-1,1713585247.600666,0.057873,0.133200
POSIX,12345,n1119,0,N/A,20,-1,5239240597189811710,N/A,12582911,MOD,19047177,write,3,N/A,8388608,-1,0.004000,4194304,-1,-1,-1,-1,1713585247.600810,0.048066,0.133472
POSIX,12345,n1119,0,N/A,9,-1,9223372036854775807,N/A,12582911,MOD,19047177,write,3,N/A,8388608,-1,0.005316,4194304,-1,-1,-1,-1,1713585247.600858,0.032521,0.132214
POSIX,12345,n1119,0,N/A,2,-1,9223372036854775807,N/A,12582911,MOD,19047177,write,3,N/A,8388608,-1,0.005562,4194304,-1,-1,-1,-1,1713585247.600939,0.038152,0.132065
POSIX,12345,n1119,0,N/A,4,-1,3538761372112935884,N/A,20971519,MOD,19047177,write,5,N/A,16777216,-1,0.004080,4194304,-1,-1,-1,-1,1713585247.602272,0.056047,0.134863
POSIX,12345,n1119,0,N/A,11,-1,9223372036854775807,N/A,12582911,MOD,19047177,write,3,N/A,8388608,-1,0.004138,4194304,-1,-1,-1,-1,1713585247.602469,0.031329,0.135004
